,runtime,director,writer,actors
66,1h 40m,['Robert Luketic'],['Bob DeRosa'],"[' (Spencer Aimes)', ' (Jen Kornfeldt)', ' (Mr. Kornfeldt)', ' (Mrs. Kornfeldt)', ' (Vivian)', ' (Mac Bailey)', ' (Olivia)', ' (Kristen)', ' (Henry)']"
67,1h 57m,['Matthew Vaughn'],[],"[' (Dave Lizewski / Kick-Ass)', ' (Mindy Macready / Hit Girl)', ' (Damon Macready / Big Daddy)', ' (Katie Deauxma)', "" (Frank D'Amico)"", ' (Mrs. Zane)', "" (Chris D'Amico / Red Mist)"", ' (Mrs. Lizewski)', ' (Sergeant Marcus Williams)']"
68,1h 49m,['Nicholas Stoller'],['Nicholas Stoller'],"[' (Aaron Green)', ' (Aldous Snow)', ' (Jackie Q)', ' (Daphne Binks)', ' (African Child in Video)', ' (Zöe Salmon)', ' (Naples)', ' (Concert goer)', ' (Self)']"
69,1h 59m,['Steve Antin'],['Steve Antin'],"[' (Tess)', ' (Alice ""Ali"" Rose)', ' (Marcus Gerber)', ' (Jack Miller)', ' (Georgia)', ' (Alexis)', ' (Vince Scali)', ' (Nikki)', ' (Sean)']"
70,1h 47m,['Julie Anne Robinson'],[],"["" (Veronica 'Ronnie' Miller)"", ' (Steve Miller)', ' (Jonah Miller)', ' (Will Blakelee)', ' (Scott)', ' (Kim)', ' (Marcus)', ' (Blaze)', ' (Susan Blakelee)']"
71,1h 54m,['Jay Roach'],[],"[' (Tim Conrad)', ' (Barry)', ' (Julie)', ' (Kieran Vollard)', ' (Therman)', ' (Darla)', ' (Lance Fender)', ' (Müeller)', ' (Caldwell)']"
72,2h 21m,['Katsuyuki Motohiro'],['Ryôichi Kimizuka'],"[' (Shunsaku Aoshima)', ' (Sumire Onda)', ' (Masayoshi Mashita)', ' (Shinjiro Waku)', ' (Natsumi Shinohara)', ' (Sôichirô Kanda)', ' (Kengo Hakamada)', ' (Harumi Akiyama)', ' (Jirô Uozumi)']"
73,1h 27m,['Tom Dey'],"['Vince Di Meglio', 'Tim Rasmussen']","[' (Marmaduke (voice))', ' (Mazie (voice))', ' (Carlos (voice))', ' (Barbara Winslow)', ' (Brian Winslow)', ' (Raisin (voice))', ' (Giuseppe (voice))', ' (Jezebel (voice))', ' (Bosco (voice))']"
74,1h 28m,['Alexandre Aja'],['Josh Stolberg'],"[' (Julie Forester)', ' (Derrick Jones)', ' (Jake Forester)', ' (Kelly Driscoll)', ' (Danni)', ' (Deputy Fallon)', ' (Mr. Goodman)', ' (Paula Montellano)', ' (Crystal)']"
75,1h 24m,['Jacques Perrin'],"['Jacques Perrin', 'Stéphane Durand', 'Christophe Cheysson', 'Laurent Gaudé', 'Jacques Cluzaud', 'Laurent Debas', 'François Sarano']","[' (Narrator (voice))', ' (Self)', ' (Self - Narrator (voice))', ' (Narrator (voice))', ' (Narrator (voice))', ' (Narrator (voice) (as Aldo))', ' (Narrator (voice))', ' (Narrator (voice))']"
76,1h 57m,['Martin Campbell'],[],"[' (Craven)', ' (Jedburgh)', ' (Jack Bennett)', ' (Emma Craven)', ' (Burnham)', ' (Millroy)', ' (Whitehouse)', ' (Moore)', ' (Senator Jim Pine)']"
77,1h 24m,"['Aaron Seltzer', 'Jason Friedberg']","['Aaron Seltzer', 'Jason Friedberg']","[' (Becca Crane)', ' (Edward)', ' (Jacob White)', ' (Frank Crane)', ' (Jennifer)', ' (Daro)', ' (Rachel)', ' (Iris Sullen)', ' (June)']"
78,1h 45m,['Gary Winick'],['Tim Sullivan'],"[' (Sophie)', ' (Charlie)', ' (Victor)', ' (Claire)', ' (Lorenzo)', ' (Isabella)', ' (Maria)', ' (Francesca)', ' (Lorraine)']"
79,1h 46m,['Alan Poul'],['Kate Angelo'],"[' (Zoe)', ' (Stan)', ' (Mona)', ' (Clive)', ' (Playground Dad)', ' (Daphne)', ' (Carol)', ' (Arthur)', ' (Lori)']"
80,1h 32m,['Thor Freudenthal'],[],"[' (Greg Heffley)', ' (Rowley Jefferson)', ' (Frank J. Heffley)', ' (Rodrick Heffley)', ' (Susan Heffley)', ' (Angie Steadman)', ' (Patty Farrell)', ' (Coach Malone)', ' (Manny Heffley)']"
81,2h 3m,['Feng Xiaogang'],['Wang Shuo'],"[' (Qin Fen)', ' (Liang Xiaoxiao)', ' (Li Xiangshan)', ' (Mang Guo)', ' (Narrator)', ' (Jian Guo)', ' (Xuan Xuan)', ' (Li Jianqing)', ' (Chuan Chuan)']"
82,1h 33m,['Will Gluck'],['Bert V. Royal'],"[' (Olive)', ' (Woodchuck Todd)', ' (Marianne)', ' (Brandon)', ' (Mr. Griffith)', ' (Rosemary)', ' (Micah)', ' (Mrs. Griffith)', ' (Principal Gibbons)']"
83,44m,['Toni Myers'],"['Toni Myers', 'Frank Summers', 'Graeme Ferguson']",[' (Narrator)']
84,1h 36m,['Kunihiko Yuyama'],[],"[' (Satoshi (voice))', ' (Pikachu (voice))', ' (Takeshi (voice))', ' (Hikari (voice))', ' (Pochama (voice))', ' (Musashi (voice))', ' (Kojiro (voice))', ' (Nyarth (voice))', ' (Narrator (voice))']"
85,1h 28m,['Ben Stassen'],['Ben Stassen'],"[' (Sammy (voice))', ' (Shelly (voice))', ' (Hatchling Shelly (voice))', ' (Snow (voice))', ' (Fluffy (voice))', ' (Grandpa Sammy (voice))', ' (Ray (voice))', ' (Vera (voice))', ' (Shelly (voice))']"
86,1h 27m,['Daniel Stamm'],"['Huck Botko', 'Andrew Gurland']","[' (Cotton Marcus)', ' (Nell Sweetzer)', ' (Iris Reisen)', ' (Louis Sweetzer)', ' (Caleb Sweetzer)', ' (Pastor Manley)', ' (Shanna Marcus)', ' (Justin Marcus)', ' (Shopkeeper)']"
87,1h 47m,['John Luessenhop'],"['John Luessenhop', 'Peter Allen', 'Gabriel Casseus', 'Avery Duff']","[' (Jesse Attica)', ' (A.J.)', ' (Jack Welles)', ' (Jake Attica)', ' (Gordon Jennings)', ' (Lt. Carver)', ' (Ghost)', ' (Eddie Hatcher)', ' (Scott)']"
88,1h 57m,['Lee Jung-ho'],['Lee Jung-ho'],"[' (Baek Hee-soo)', ' (Park Yeong-joon)', "" (Chan-sik's father)"", ' (Chan-sik)', ' (Editor-in-chief)', ' (Yeon-hee)', ' (Nurse)', ' (Director Song)']"
89,1h 40m,['Scott Stewart'],"['Scott Stewart', 'Peter Schink']","[' (Michael)', ' (Bob Hanson)', ' (Jeep Hanson)', ' (Sandra Anderson)', ' (Kyle Williams)', ' (Charlie)', ' (Audrey Anderson)', ' (Percy Walker)', ' (Howard Anderson)']"
90,1h 44m,['Anton Corbijn'],[],"[' (Jack / Edward)', ' (Clara)', ' (Mathilde)', ' (Father Benedetto)', ' (Pavel)', ' (Ingrid)', ' (Hunter #1)', ' (Hunter #2)', ' (Man on Vespa)']"
91,2h 13m,['Paul Haggis'],[],"[' (John Brennan)', ' (Lara)', ' (George Brennan)', ' (Mouss)', ' (Erit)', ' (Nicole)', ' (Detective Quinn)', ' (Elaine)', ' (Mike)']"
92,1h 32m,"['Greg Strause', 'Colin Strause']","[""Liam O'Donnell"", 'Joshua Cordes']","[' (Jarrod)', ' (Elaine)', ' (Oliver)', ' (Terry)', ' (Candice)', ' (Denise)', ' (Ray)', ' (Colin)', ' (Jen)']"
93,1h 41m,['Steve Pink'],['Josh Heald'],"[' (Adam)', ' (Nick)', ' (Lou)', ' (Jacob)', ' (Blaine)', ' (Phil)', ' (Jennie)', ' (April)', ' (Kelly)']"
94,1h 20m,['John Erick Dowdle'],['M. Night Shyamalan'],"[' (Detective Bowden)', ' (Young Woman / Sarah Caraway)', ' (Old Woman)', ' (Mechanic / Anthony ""Tony"" Janekowski)', ' (Ramirez)', ' (Guard / Ben Larson)', ' (Lustig)', ' (Elsa Nahai)', ' (Detective Markowitz)']"
95,1h 34m,['Danny Boyle'],[],"[' (Aron Ralston)', ' (Kristi Moore)', ' (Megan McBride)', ' (Rana)', ' (Sonja Ralston)', "" (Aron's Mom)"", "" (Aron's Dad)"", "" (Aron's Friend)"", ' (Blue John)']"
96,2h 1m,['Tyler Perry'],['Tyler Perry'],"[' (Terry)', ' (Patricia)', ' (Sheila)', ' (Dianne)', ' (Gavin)', ' (Mike)', ' (Angela)', ' (Marcus)', ' (Porter)']"
97,2h 8m,['Roman Polanski'],[],"[' (The Ghost)', ' (Adam Lang)', ' (Amelia Bly)', ' (Ruth Lang)', ' (Paul Emmett)', ' (Sidney Kroll)', ' (Rick Ricardelli)', ' (Roy)', ' (Richard Rycart)']"
98,2h 3m,['Randall Wallace'],[],"[' (Penny Chenery)', ' (Lucien Laurin)', ' (Chris Chenery)', ' (Jack Tweedy)', ' (Bull Hancock)', ' (Miss Ham)', ' (Eddie Sweat)', ' (Ogden Phipps)', ' (Ronnie Turcotte)']"
99,1h 47m,['Roger Michell'],[],"[' (Becky Fuller)', ' (Mike Pomeroy)', ' (Colleen Peck)', ' (Adam Bennett)', ' (Jerry Barnes)', ' (Lenny Bergman)', ' (Ernie Appleby)', ' (Lisa Bartlett)', ' (Paul McVee)']"
